n, dt
562, 0.005591
563, 0.005517
564, 0.005627
565, 0.005666
566, 0.005597
567, 0.005685
568, 0.005588
569, 0.005589
570, 0.005534
571, 0.005550
572, 0.005622
573, 0.005597
574, 0.005763
575, 0.005802
576, 0.005520
577, 0.005451
578, 0.005429
579, 0.005506
580, 0.005624
581, 0.005603
582, 0.005516
583, 0.005558
584, 0.005682
585, 0.005554
586, 0.005777
587, 0.005803
588, 0.005859
589, 0.005930
590, 0.005799
591, 0.005755
592, 0.006017
593, 0.005600
594, 0.005464
595, 0.005691
596, 0.005647
597, 0.005609
598, 0.005739
599, 0.005626
600, 0.005496
601, 0.005794
602, 0.006449
603, 0.005695
604, 0.005613
605, 0.005693
606, 0.005579
607, 0.005621
608, 0.005665
609, 0.005566
610, 0.005782
611, 0.005712
612, 0.005767
613, 0.005692
614, 0.005546
615, 0.005663
616, 0.005758
617, 0.005755
618, 0.005663
619, 0.005945
620, 0.005662
621, 0.005604
622, 0.005560
623, 0.005745
624, 0.005879
625, 0.005716
626, 0.005536
627, 0.005558
628, 0.005550
629, 0.005657
630, 0.005684
631, 0.005582
632, 0.005492
633, 0.005527
634, 0.005588
635, 0.005574
636, 0.005575
637, 0.005681
638, 0.005753
639, 0.005767
640, 0.005862
641, 0.005638
642, 0.005855
643, 0.005855
644, 0.005812
645, 0.005770
646, 0.005676
647, 0.005808
648, 0.005899
649, 0.006166
650, 0.006204
651, 0.006099
652, 0.006199
653, 0.005929
654, 0.005825
655, 0.005996
656, 0.006008
657, 0.006062
658, 0.006347
659, 0.006025
660, 0.006267
661, 0.006062
662, 0.005685
663, 0.006249
664, 0.005711
665, 0.005722
666, 0.006159
667, 0.005956
668, 0.006276
669, 0.005874
670, 0.006209
671, 0.006030
672, 0.006056
673, 0.005896
674, 0.005694
675, 0.006115
676, 0.005946
677, 0.006267
678, 0.006279
679, 0.005717
680, 0.005749
681, 0.005949
682, 0.006267
683, 0.005948
684, 0.005840
685, 0.005751
686, 0.005691
687, 0.005666
688, 0.006074
689, 0.005971
690, 0.005669
691, 0.005911
692, 0.005792
693, 0.005847
694, 0.006170
695, 0.005966
696, 0.005693
697, 0.006238
698, 0.006076
699, 0.006231
700, 0.005972
701, 0.006233
702, 0.006169
703, 0.006251
704, 0.006227
705, 0.006185
706, 0.005768
707, 0.006231
708, 0.006376
709, 0.005714
710, 0.005657
711, 0.006002
712, 0.005770
713, 0.005816
714, 0.005764
715, 0.006063
716, 0.005585
717, 0.006149
718, 0.006073
719, 0.005931
720, 0.005811
721, 0.005684
722, 0.006010
723, 0.005957
724, 0.006327
725, 0.006388
726, 0.005942
727, 0.006031
728, 0.006067
729, 0.006381
730, 0.006113
731, 0.005911
732, 0.005995
733, 0.006182
734, 0.006318
735, 0.006173
736, 0.005968
737, 0.005826
738, 0.006000
739, 0.006034
740, 0.006252
741, 0.005987
742, 0.007122
743, 0.006096
744, 0.006025
745, 0.006053
746, 0.005990
747, 0.005894
748, 0.006136
749, 0.005960
750, 0.005997
751, 0.006214
752, 0.006519
753, 0.006169
754, 0.005929
755, 0.005896
756, 0.006252
757, 0.005753
758, 0.006193
759, 0.006020
760, 0.005640
761, 0.006150
762, 0.005783
763, 0.005881
764, 0.005921
765, 0.007095
766, 0.006326
767, 0.006110
768, 0.006137
769, 0.006302
770, 0.005988
771, 0.005809
772, 0.005878
773, 0.005835
774, 0.005703
775, 0.005798
776, 0.005655
777, 0.005653
778, 0.005720
779, 0.005720
780, 0.005566
781, 0.005726
782, 0.005971
783, 0.005995
784, 0.005892
785, 0.006203
786, 0.006177
787, 0.006258
788, 0.006013
789, 0.005976
790, 0.005773
791, 0.005947
792, 0.005874
793, 0.006305
794, 0.005803
795, 0.006022
796, 0.006267
797, 0.006380
798, 0.006190
799, 0.005785
800, 0.005946
801, 0.006005
802, 0.006288
803, 0.006260
804, 0.005975
805, 0.006175
806, 0.006199
807, 0.005735
808, 0.005822
809, 0.005909
810, 0.005970
811, 0.005870
812, 0.006495
813, 0.006227
814, 0.005953
815, 0.006298
816, 0.005989
817, 0.006061
818, 0.006184
819, 0.006163
820, 0.005775
821, 0.006166
822, 0.006085
823, 0.006208
824, 0.006174
825, 0.005811
826, 0.006244
827, 0.006068
828, 0.006178
829, 0.006298
830, 0.006182
831, 0.006341
832, 0.005918
833, 0.005841
834, 0.005798
835, 0.005561
836, 0.006021
837, 0.006096
838, 0.005811
839, 0.006288
840, 0.006244
841, 0.006104
842, 0.006044
843, 0.005882
844, 0.005892
845, 0.005714
846, 0.005803
847, 0.005772
848, 0.006174
849, 0.006107
850, 0.006319
851, 0.006334
852, 0.005970
853, 0.006182
854, 0.006011
855, 0.005944
856, 0.006016
857, 0.006170
858, 0.006258
859, 0.006019
860, 0.005970
861, 0.005966
862, 0.005709
863, 0.005699
864, 0.005673
865, 0.006225
866, 0.006338
867, 0.006085
868, 0.006168
869, 0.005868
870, 0.005638
871, 0.006191
872, 0.006186
873, 0.006185
874, 0.005948
875, 0.006027
876, 0.005998
877, 0.006004
878, 0.006168
879, 0.006380
880, 0.006147
881, 0.006254
882, 0.006057
883, 0.006042
884, 0.006053
885, 0.005957
886, 0.006182
887, 0.005868
888, 0.005893
889, 0.006399
890, 0.005758
891, 0.005699
892, 0.005627
893, 0.006210
894, 0.005574
895, 0.005673
896, 0.005790
897, 0.005878
898, 0.005962
899, 0.006295
900, 0.005821
901, 0.006157
902, 0.006146
903, 0.006448
904, 0.006263
905, 0.005769
906, 0.006195
907, 0.006176
908, 0.006199
909, 0.006254
910, 0.005931
911, 0.006181
912, 0.006190
913, 0.005769
914, 0.005916
915, 0.006028
916, 0.006281
917, 0.006237
918, 0.005810
919, 0.006512
920, 0.006299
921, 0.005693
922, 0.005745
923, 0.005811
924, 0.005990
925, 0.005590
926, 0.005661
927, 0.005712
928, 0.005565
929, 0.005757
930, 0.005640
931, 0.005473
932, 0.005659
933, 0.005662
934, 0.005773
935, 0.005570
936, 0.005735
937, 0.005585
938, 0.005654
939, 0.005648
940, 0.005667
941, 0.005545
942, 0.005644
943, 0.005619
944, 0.005856
945, 0.005799
946, 0.005628
947, 0.005787
948, 0.005828
949, 0.005771
950, 0.005796
951, 0.005600
952, 0.005503
953, 0.005631
954, 0.005648
955, 0.005594
956, 0.005758
957, 0.005619
958, 0.005725
959, 0.005561
960, 0.005609
961, 0.005607
962, 0.005644
963, 0.005552
964, 0.005602
965, 0.005546
966, 0.005558
967, 0.005755
968, 0.005529
969, 0.005587
970, 0.005576
971, 0.005675
972, 0.005557
973, 0.005463
974, 0.005465
975, 0.005580
976, 0.005687
977, 0.005525
978, 0.005553
979, 0.005565
980, 0.005620
981, 0.005553
982, 0.005631
983, 0.005528
984, 0.005623
985, 0.005578
986, 0.005645
987, 0.005513
988, 0.005489
989, 0.005646
990, 0.005684
991, 0.005838
992, 0.005807
993, 0.005762
994, 0.005782
995, 0.005829
996, 0.005900
997, 0.005995
998, 0.005983
999, 0.005959
